,champion,role,winRate,playPercent,banRate,experience,kills,death,assist,largestKillingSpree,totalDamageDealtToChampions,totalDamageTaken,totalHeal,minionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,goldEarned,overallPosition
0,Aatrox,Jungle,0.4874,0.0063,0.0025,6.3,6.47,6.18,6.19,8,15898,33298,16447,53.2,8.25,72.05,11616,36
1,Aatrox,Top,0.4864,0.0154,0.0025,5.3,6.01,6.45,5.11,8,18368,29605,10219,170.4,3.79,5.54,11648,42
2,Ahri,Middle,0.5261,0.0825,0.0045000000000000005,7.55,6.55,5.7,7.55,9,20726,19087,3753,164.8,1.16,5.0,11488,10
3,Akali,Middle,0.4951,0.0181,0.0038,7.93,9.06,7.04,5.27,9,19010,26219,9825,134.9,2.55,4.72,11471,39
4,Akali,Top,0.5117,0.016200000000000003,0.0038,8.23,7.64,6.4,4.9,10,18800,26425,10150,154.7,2.63,3.74,11456,40
5,Alistar,Support,0.5253,0.0637,0.004,4.62,2.34,5.54,13.79,7,8746,24598,9395,38.8,0.11,0.14,9023,12
6,Amumu,Jungle,0.5215,0.0177,0.0005,3.46,4.75,5.34,10.18,8,13606,29043,6788,41.9,6.02,69.95,10853,29
7,Anivia,Middle,0.5447,0.0271,0.002,8.01,6.12,4.67,7.41,8,20072,24647,9621,177.9,2.73,10.68,11863,7
8,Annie,Middle,0.5281,0.026099999999999998,0.0022,4.75,7.05,6.51,7.08,9,20967,17802,1782,149.8,1.09,4.2,11303,27
9,Annie,Support,0.46340000000000003,0.0109,0.0022,5.94,5.09,7.65,10.13,9,17542,17309,1330,37.4,0.53,1.26,10549,30
10,Ashe,ADC,0.5106,0.06559999999999999,0.0006,5.22,6.6,6.64,8.7,9,19633,18115,2857,181.5,2.08,7.7,12515,18
11,AurelionSol,Jungle,0.51,0.0026,0.0009,15.64,6.85,6.79,9.6,8,20631,24931,3623,151.3,1.83,12.66,11610,42
12,AurelionSol,Middle,0.4921,0.014199999999999999,0.0009,5.67,5.94,6.81,8.77,8,19646,24107,3043,159.7,1.27,5.36,11193,41
13,Azir,Middle,0.4965,0.051,0.0083,4.04,6.51,6.51,6.47,9,21824,19378,2104,174.7,2.03,9.23,11823,25
14,Bard,Support,0.469,0.09210000000000002,0.0014000000000000002,6.21,3.62,6.85,13.55,8,13608,19684,6152,25.4,0.36,0.43,10206,17
15,Blitzcrank,Support,0.5192,0.0992,0.0275,5.8,2.85,5.75,13.15,8,10161,22435,3471,37.8,0.26,0.26,9481,4
16,Brand,Middle,0.4978,0.0187,0.0042,7.23,6.39,6.58,7.6,9,23353,20728,2470,147.3,1.25,6.14,11217,36
17,Brand,Support,0.4886,0.04190000000000001,0.0042,5.98,5.28,7.6,10.24,8,21992,19164,1573,39.8,0.81,2.04,10871,21
18,Braum,Support,0.5177,0.0487,0.0024,5.21,1.69,5.26,15.19,4,7665,22554,4586,41.2,0.1,0.12,9144,23
19,Caitlyn,ADC,0.48479999999999995,0.13449999999999998,0.009000000000000001,8.8,6.55,6.52,7.22,11,21177,18055,2978,191.4,1.97,7.66,12567,16
20,Camille,Top,0.47909999999999997,0.0381,0.0025,5.38,6.44,6.68,5.67,9,17368,25735,2999,152.8,1.96,3.52,11220,48
21,Cassiopeia,Middle,0.4629,0.026099999999999998,0.0015,5.29,5.87,6.43,6.48,8,19143,22124,6135,166.5,1.85,8.59,11297,44
22,ChoGath,Jungle,0.5239,0.011000000000000001,0.024700000000000003,4.37,6.23,4.86,7.61,8,14465,40728,11225,47.4,5.58,68.6,11198,6
23,ChoGath,Top,0.5209,0.0341,0.024700000000000003,3.96,5.79,5.08,5.9,8,16972,36382,7266,155.8,1.21,2.69,10975,4
24,Corki,ADC,0.516,0.0046,0.0007000000000000001,5.78,8.58,6.4,7.7,8,24681,21869,3612,180.5,2.58,8.08,13010,7
25,Corki,Middle,0.5374,0.021400000000000002,0.0007000000000000001,4.93,8.31,6.12,6.66,9,24505,21462,2814,180.2,3.05,10.35,12661,4
26,Darius,Top,0.4765,0.06559999999999999,0.0275,6.41,5.95,6.29,5.12,9,16193,31034,5110,169.1,1.12,1.82,11195,12
27,Diana,Jungle,0.5034000000000001,0.0139,0.0039000000000000003,6.33,7.91,6.51,6.85,9,18917,23872,6113,60.7,7.53,72.46,12058,27
28,Diana,Middle,0.5304,0.0327,0.0039000000000000003,5.21,8.61,6.88,5.79,10,21653,20632,2191,157.0,3.39,9.06,12015,17
29,Dr.Mundo,Jungle,0.5117,0.0051,0.0008,4.6,6.0,5.53,7.85,7,16957,37902,13582,53.2,9.08,70.81,11431,17
30,Dr.Mundo,Top,0.4963,0.013300000000000001,0.0008,3.26,4.93,5.54,6.51,6,18945,34165,7530,170.3,1.91,2.64,11164,30
31,Draven,ADC,0.5047999999999999,0.06269999999999999,0.0161,8.11,8.33,7.12,6.36,11,22603,20870,3422,181.4,2.6,7.66,13491,9
32,Ekko,Jungle,0.4868,0.0197,0.0036,13.26,7.42,6.27,7.43,11,17956,29983,10951,63.0,6.04,61.38,11573,33
33,Ekko,Middle,0.5029,0.0467,0.0036,7.08,7.5,6.51,6.14,10,20051,25655,6571,158.1,1.62,4.96,11614,28
34,Ekko,Top,0.4799,0.0115,0.0036,9.43,5.79,6.36,5.73,8,18120,26247,6215,164.4,1.38,2.86,11272,49
35,Elise,Jungle,0.4999,0.0381,0.0037,6.99,6.72,5.97,7.65,8,15465,23421,7830,34.0,6.99,63.05,10784,38
36,Evelynn,Jungle,0.4976,0.0703,0.0235,6.32,8.56,6.41,7.39,12,18292,25237,7827,26.7,7.23,66.3,11298,9
37,Ezreal,ADC,0.5600999999999999,0.1827,0.042199999999999994,8.02,8.37,5.76,8.27,10,27418,19626,2810,183.3,2.36,6.98,13272,1
38,Ezreal,Jungle,0.5112,0.0545,0.042199999999999994,21.08,8.09,6.18,7.52,10,21409,23614,7815,58.5,9.08,67.25,11996,1
39,Fiddlesticks,Jungle,0.4818,0.0121,0.0008,6.3,5.18,6.28,9.2,8,15431,28521,15266,46.0,4.5,62.96,10681,44
40,Fiddlesticks,Middle,0.536,0.0049,0.0008,17.26,6.24,6.17,8.31,7,20624,19389,5822,148.5,1.58,7.34,11190,30
41,Fiddlesticks,Support,0.4997,0.0089,0.0008,9.9,4.19,7.49,11.25,7,16707,18418,3608,47.5,0.9,2.54,10533,25
42,Fiora,Top,0.4797,0.0583,0.0233,6.41,6.08,6.38,4.59,9,17734,27993,7337,175.0,2.5,3.63,11540,16
43,Fizz,Middle,0.524,0.0582,0.0196,6.0,9.27,6.52,5.61,12,19600,21759,2439,146.9,1.37,4.9,11721,9
44,Galio,Middle,0.4644,0.0235,0.0151,6.29,4.57,6.22,9.23,8,17353,25101,2763,154.5,1.38,5.42,10674,45
45,Galio,Top,0.4445,0.0161,0.0151,4.94,3.29,6.09,8.71,9,14818,25620,2597,149.9,0.84,2.34,10197,54
46,Gangplank,Middle,0.47229999999999994,0.028900000000000002,0.009300000000000001,16.44,6.54,6.3,7.66,10,21893,23791,5986,188.6,2.11,6.22,13482,15
47,Gangplank,Top,0.49570000000000003,0.1119,0.009300000000000001,9.28,5.81,6.1,7.15,9,21595,23654,5900,197.0,1.72,4.05,13502,1
48,Garen,Top,0.5175,0.0348,0.0022,3.41,6.19,5.13,4.82,8,17580,30133,1660,167.5,1.82,2.26,11387,22
49,Gnar,Top,0.4891,0.076,0.0051,4.18,5.14,5.94,6.8,8,18619,27667,2451,162.1,1.37,2.38,11124,21
50,Gragas,Jungle,0.466,0.0313,0.001,6.48,4.12,5.23,9.33,8,12220,30747,12381,36.0,5.75,64.19,10207,45
51,Gragas,Middle,0.4623,0.0052,0.001,14.07,7.03,6.41,6.71,8,20065,25409,7519,140.7,2.06,6.97,11154,46
