,champion1,champion2,champion3,champion4,champion5,status1,team,date,gold
0,Trundle,Gragas,Taliyah,Sivir,Janna,   DEFEAT   ,FNC,2017-10-21,74.5
1,Chogath,Sejuani,Ryze,Tristana,Soraka,   VICTORY   ,RNG,2017-10-21,85.1
2,Chogath,Sejuani,Taliyah,Vayne,Janna,   DEFEAT   ,FNC,2017-10-21,80.4
3,Maokai,JarvanIV,Syndra,Tristana,Soraka,   VICTORY   ,RNG,2017-10-21,79.3
4,Gnar,Sejuani,Malzahar,Tristana,Karma,   VICTORY   ,FNC,2017-10-21,100.3
5,Chogath,JarvanIV,Galio,KogMaw,Morgana,   DEFEAT   ,RNG,2017-10-21,107.3
6,Gnar,Sejuani,Galio,Varus,Taric,   DEFEAT   ,FNC,2017-10-21,69.0
7,Shen,JarvanIV,Corki,Twitch,Soraka,   VICTORY   ,RNG,2017-10-21,76.2
8,Jayce,Sejuani,Galio,Caitlyn,Trundle,   VICTORY   ,SKT,2017-10-20,54.2
9,Rumble,JarvanIV,Ryze,Tristana,Taric,   DEFEAT   ,MSF,2017-10-20,35.4
10,Gnar,Sejuani,Karma,Tristana,Blitzcrank,   VICTORY   ,MSF,2017-10-20,52.6
11,Chogath,JarvanIV,Corki,KogMaw,Taric,   DEFEAT   ,SKT,2017-10-20,39.7
12,Jayce,Gragas,Taliyah,Vayne,Lulu,   DEFEAT   ,SKT,2017-10-20,68.3
13,JarvanIV,Ivern,Orianna,Tristana,Leona,   VICTORY   ,MSF,2017-10-20,81.5
14,Chogath,Sejuani,Karma,Sivir,Alistar,   DEFEAT   ,MSF,2017-10-20,61.8
15,Trundle,JarvanIV,Ryze,Tristana,Braum,   VICTORY   ,SKT,2017-10-20,72.9
16,Jayce,JarvanIV,Taliyah,Tristana,TahmKench,   VICTORY   ,SKT,2017-10-20,69.2
17,Shen,Sejuani,Syndra,Varus,Thresh,   DEFEAT   ,MSF,2017-10-20,60.3
18,Chogath,Gragas,Corki,KogMaw,Janna,   VICTORY   ,WE,2017-10-22,99.8
19,Shen,JarvanIV,AurelionSol,Caitlyn,Lulu,   DEFEAT   ,C9,2017-10-22,97.0
20,Singed,JarvanIV,Orianna,Tristana,Taric,   VICTORY   ,C9,2017-10-22,64.8
21,Maokai,Sejuani,Corki,KogMaw,Karma,   DEFEAT   ,WE,2017-10-22,56.1
22,Chogath,Maokai,Jayce,Caitlyn,Lulu,   DEFEAT   ,WE,2017-10-22,36.5
23,Singed,JarvanIV,Taliyah,Tristana,Janna,   VICTORY   ,C9,2017-10-22,50.2
24,Trundle,Sejuani,Orianna,Xayah,Taric,   DEFEAT   ,C9,2017-10-22,53.7
25,Chogath,JarvanIV,Taliyah,KogMaw,Rakan,   VICTORY   ,WE,2017-10-22,67.4
26,Gnar,Gragas,Galio,KogMaw,Janna,   VICTORY   ,WE,2017-10-22,64.5
27,Shen,Sejuani,Orianna,Caitlyn,Lulu,   DEFEAT   ,C9,2017-10-22,52.9
28,Jax,JarvanIV,Syndra,Xayah,Thresh,   DEFEAT   ,LZ,2017-10-19,77.4
29,Kennen,Sejuani,Malzahar,Tristana,Rakan,   VICTORY   ,SSG,2017-10-19,87.4
30,Chogath,JarvanIV,Orianna,Varus,Lulu,   DEFEAT   ,LZ,2017-10-19,46.1
31,Shen,Sejuani,Taliyah,Tristana,Taric,   VICTORY   ,SSG,2017-10-19,62.9
32,Shen,Sejuani,Lissandra,Tristana,Taric,   VICTORY   ,SSG,2017-10-19,68.1
33,Trundle,Gragas,Taliyah,Varus,Rakan,   DEFEAT   ,LZ,2017-10-19,55.6
34,Shen,Sejuani,Malzahar,Twitch,Janna,   VICTORY   ,RNG,2017-10-28,79.9
35,Gangplank,Zac,Galio,Tristana,Blitzcrank,   DEFEAT   ,SKT,2017-10-28,65.0
36,Camille,Gragas,Galio,Varus,Leona,   VICTORY   ,SKT,2017-10-28,60.9
37,Gnar,Nocturne,Malzahar,Twitch,Rakan,   DEFEAT   ,RNG,2017-10-28,47.1
38,Maokai,Sejuani,Ryze,Vayne,Taric,   VICTORY   ,RNG,2017-10-28,45.0
39,Camille,Zac,Galio,Tristana,Lulu,   DEFEAT   ,SKT,2017-10-28,38.0
40,Gnar,Gragas,Galio,KogMaw,Lulu,   VICTORY   ,SKT,2017-10-28,63.2
41,Rumble,JarvanIV,Ryze,Twitch,Soraka,   DEFEAT   ,RNG,2017-10-28,54.4
42,Shen,LeeSin,Corki,Tristana,Taric,   DEFEAT   ,RNG,2017-10-28,69.0
43,Gnar,JarvanIV,Galio,Caitlyn,Lulu,   VICTORY   ,SKT,2017-10-28,81.3
44,Shen,Gragas,Kassadin,Xayah,Rakan,   VICTORY   ,WE,2017-10-29,57.0
45,Kennen,JarvanIV,Taliyah,Tristana,Taric,   DEFEAT   ,SSG,2017-10-29,41.5
46,Gnar,Gragas,Malzahar,Varus,Janna,   VICTORY   ,SSG,2017-10-29,59.0
47,Rumble,JarvanIV,Galio,Twitch,Taric,   DEFEAT   ,WE,2017-10-29,46.5
48,Chogath,JarvanIV,Orianna,Tristana,Karma,   DEFEAT   ,WE,2017-10-29,58.6
49,Shen,Gragas,Taliyah,Varus,Taric,   VICTORY   ,SSG,2017-10-29,75.6
50,Gnar,LeeSin,Galio,Varus,Rakan,   VICTORY   ,SSG,2017-10-29,62.9
51,Kennen,JarvanIV,Taliyah,KogMaw,Taric,   DEFEAT   ,WE,2017-10-29,53.4
52,Kennen,Zac,Malzahar,Xayah,Janna,   VICTORY   ,SSG,2017-11-04,75.3
53,Gnar,Gragas,Cassiopeia,Varus,Lulu,   DEFEAT   ,SKT,2017-11-04,61.8
54,Gnar,JarvanIV,Malzahar,Xayah,Janna,   VICTORY   ,SSG,2017-11-04,69.1
55,Yasuo,Gragas,Ryze,Varus,Lulu,   DEFEAT   ,SKT,2017-11-04,57.7
56,Chogath,Sejuani,Malzahar,Varus,Lulu,   VICTORY   ,SSG,2017-11-04,73.5
57,Trundle,Gragas,Karma,Tristana,Leona,   DEFEAT   ,SKT,2017-11-04,72.9
