,champion1,champion2,champion3,champion4,champion5,status,date,gold
0,0.4956,0.466,0.4652,0.4956,0.5256,0,2017-10-21,74.5
1,0.5209,0.5179,0.4652,0.5132,0.5256,0,2017-10-21,80.4
2,0.5209,0.5336,0.4644,0.5219,0.4836,0,2017-10-21,107.3
3,0.4891,0.5179,0.4644,0.5041,0.5471,0,2017-10-21,69.0
4,0.4907,0.5336,0.4459,0.5147,0.5471,0,2017-10-20,35.4
5,0.5209,0.5336,0.5374,0.5219,0.5471,0,2017-10-20,39.7
6,0.5146,0.466,0.4652,0.5132,0.5292,0,2017-10-20,68.3
7,0.5209,0.5179,0.5218,0.4956,0.5253,0,2017-10-20,61.8
8,0.5308,0.5179,0.4758,0.5041,0.4955,0,2017-10-20,60.3
9,0.5308,0.5336,0.4921,0.4848,0.5292,0,2017-10-22,97.0
10,0.5495,0.5179,0.5374,0.5219,0.4926,0,2017-10-22,56.1
11,0.5209,0.5364,0.5123,0.4848,0.5292,0,2017-10-22,36.5
12,0.4956,0.5179,0.5137,0.497,0.5471,0,2017-10-22,53.7
13,0.5308,0.5179,0.5137,0.4848,0.5292,0,2017-10-22,52.9
14,0.5112,0.5336,0.4758,0.497,0.4955,0,2017-10-19,77.4
15,0.5209,0.5336,0.5137,0.5041,0.5292,0,2017-10-19,46.1
16,0.4956,0.466,0.4652,0.5041,0.4902,0,2017-10-19,55.6
17,0.4957,0.4941,0.4644,0.5147,0.5192,0,2017-10-28,65.0
18,0.4891,0.507,0.5534,0.5328,0.4902,0,2017-10-28,47.1
19,0.4791,0.4941,0.4644,0.5147,0.5292,0,2017-10-28,38.0
20,0.4907,0.5336,0.4459,0.5328,0.5197,0,2017-10-28,54.4
21,0.5308,0.4926,0.5374,0.5147,0.5471,0,2017-10-28,69.0
22,0.4947,0.5336,0.4652,0.5147,0.5471,0,2017-10-29,41.5
23,0.4907,0.5336,0.4644,0.5328,0.5471,0,2017-10-29,46.5
24,0.5209,0.5336,0.5137,0.5147,0.4926,0,2017-10-29,58.6
25,0.4947,0.5336,0.4652,0.5219,0.5471,0,2017-10-29,53.4
26,0.4891,0.466,0.4629,0.5041,0.5292,0,2017-11-04,61.8
27,0.4867,0.466,0.4459,0.5041,0.5292,0,2017-11-04,57.7
28,0.4956,0.466,0.5218,0.5147,0.5494,0,2017-11-04,72.9
