,champion1,champion2,champion3,champion4,champion5,status,date,gold
0,0.5209,0.5179,0.4459,0.5147,0.5197,1,2017-10-21,85.1
1,0.5495,0.5336,0.4758,0.5147,0.5197,1,2017-10-21,79.3
2,0.4891,0.5179,0.5534,0.5147,0.4926,1,2017-10-21,100.3
3,0.5308,0.5336,0.5374,0.5328,0.5197,1,2017-10-21,76.2
4,0.5146,0.5179,0.4644,0.4848,0.4956,1,2017-10-20,54.2
5,0.4891,0.5179,0.5218,0.5147,0.5192,1,2017-10-20,52.6
6,0.5264,0.4661,0.5137,0.5147,0.5494,1,2017-10-20,81.5
7,0.4956,0.5336,0.4459,0.5147,0.5177,1,2017-10-20,72.9
8,0.5146,0.5336,0.4652,0.5147,0.4899,1,2017-10-20,69.2
9,0.5209,0.466,0.5374,0.5219,0.5256,1,2017-10-22,99.8
10,0.5217,0.5336,0.5137,0.5147,0.5471,1,2017-10-22,64.8
11,0.5217,0.5336,0.4652,0.5147,0.5256,1,2017-10-22,50.2
12,0.5209,0.5336,0.4652,0.5219,0.4902,1,2017-10-22,67.4
13,0.4891,0.466,0.4644,0.5219,0.5256,1,2017-10-22,64.5
14,0.4947,0.5179,0.5534,0.5147,0.4902,1,2017-10-19,87.4
15,0.5308,0.5179,0.4652,0.5147,0.5471,1,2017-10-19,62.9
16,0.5308,0.5179,0.5094,0.5147,0.5471,1,2017-10-19,68.1
17,0.5308,0.5179,0.5534,0.5328,0.5256,1,2017-10-28,79.9
18,0.4791,0.466,0.4644,0.5041,0.5494,1,2017-10-28,60.9
19,0.5495,0.5179,0.4459,0.5132,0.5471,1,2017-10-28,45.0
20,0.4891,0.466,0.4644,0.5219,0.5292,1,2017-10-28,63.2
21,0.4891,0.5336,0.4644,0.4848,0.5292,1,2017-10-28,81.3
22,0.5308,0.466,0.5029,0.497,0.4902,1,2017-10-29,57.0
23,0.4891,0.466,0.5534,0.5041,0.5256,1,2017-10-29,59.0
24,0.5308,0.466,0.4652,0.5041,0.5471,1,2017-10-29,75.6
25,0.4891,0.4926,0.4644,0.5041,0.4902,1,2017-10-29,62.9
26,0.4947,0.4941,0.5534,0.497,0.5256,1,2017-11-04,75.3
27,0.4891,0.5336,0.5534,0.497,0.5256,1,2017-11-04,69.1
28,0.5209,0.5179,0.5534,0.5041,0.5292,1,2017-11-04,73.5
